revenues,revenues(change%),profit,profit(change%),asset($m),marketcap(03032021),change_rank(1000),employees,change_rank(500),measure_rank,company
"$11,958",-8.7%,"$1,534",-19%,"$165,883","$27,103.5",-8,"12,300",-8,275,Ameriprise Financial
"$11,946",-,$-669.9,-,"$61,553","$16,862.9",-,"45,000",-,167,Viatris
"$11,940",-4%,"$3,932",79%,"$66,623","$40,132.8",3,"14,706",3,43,Sempra Energy
"$11,869.7",-5.7%,$-116.4,-310.5%,"$17,853.3",-,-1,"10,004",-1,-,Farmers Insurance Exchange
"$11,846.9",-8.3%,$844.5,-,"$11,571","$17,247.5",-9,"57,350",-9,307,Bath & Body Works
"$11,797",2.7%,$695,-18.1%,"$6,295","$20,985.1",20,"22,450",20,74,W.W. Grainger
"$11,789",-10.8%,$511,-,"$16,006","$1,752.4",-18,"62,500",-18,288,Community Health Systems
"$11,781",2.7%,$585,3.4%,"$18,252","$27,800.5",19,"21,500",19,225,Ball
"$11,709",31.9%,$559,38.4%,"$16,701","$8,221.1",97,"47,000",97,300,Berry Global Group
"$11,700",-11.4%,$119,-94.6%,"$71,973","$37,703.1",-20,"10,524",-20,271,Kinder Morgan
"$11,688.1",-15.7%,$679.4,-46.1%,"$11,133.3","$31,305.8",-30,"48,000",-30,50,VF
"$11,673",2.7%,"$1,102",10.1%,"$20,019","$42,656.8",18,"50,000",18,40,Baxter International
"$11,651",-14.5%,$309,-62.1%,"$15,443","$12,726",-29,"33,000",-29,159,Textron
"$11,628.8",-7%,$638.4,18%,"$12,360.5","$12,801.2",-9,"44,000",-9,392,LKQ
"$11,618",4.5%,"$1,325",5.7%,"$49,779","$48,367.8",21,"27,000",21,335,Keurig Dr Pepper
"$11,604.5",14.3%,"$1,752.3",26%,"$11,596.6","$35,460.8",46,"70,179",46,399,O'Reilly Automotive
"$11,575",-0.8%,$579,13.5%,"$16,670","$13,091.9",3,"33,264",3,393,Crown Holdings
"$11,558.9",1.6%,$944,15.8%,"$13,476.9","$11,350.6",11,"78,550",11,399,Universal Health Services
"$11,550.6",-18.1%,$773.6,-4.6%,"$16,988.5","$11,790",-41,"67,000",-41,135,DaVita
"$11,526",-,"$1,473",7.4%,"$53,957","$35,759",4,"11,367",4,219,Xcel Energy
"$11,497",18%,"$2,829",0.9%,"$41,369","$48,282.7",55,"14,300",55,277,Newmont
"$11,443",-3.1%,$636,-31.5%,"$25,208","$8,512",-4,"5,365",-4,224,Vistra
"$11,359",2.4%,$279,46.1%,"$24,564","$37,034.4",15,"70,000",15,254,IQVIA Holdings
"$11,351",5.1%,"$5,667",217.3%,"$19,310","$41,670.5",19,"12,700",19,113,eBay
"$11,303",-1.7%,$512,-46.7%,"$30,775","$33,466.3",-,"50,110",-,249,Corning
"$11,202.7",-7.5%,$445.6,10.8%,"$8,398.3","$12,173.4",-17,"35,800",-17,399,Quanta Services
"$11,183.6",-36%,$-601.4,-177.9%,"$11,506.9","$5,811.2",-95,"3,891",-95,399,HollyFrontier
"$11,158.6",-7.2%,$-613.8,-,"$7,790.5","$3,533.4",-15,"55,000",-15,364,Bed Bath & Beyond
"$11,139",-21.3%,"$-6,768",-,"$33,252","$101,438",-53,"22,800",-53,37,Uber Technologies
"$11,098.4",6.1%,$698.1,157.2%,"$47,294",-,18,"5,526",18,-,Mutual of Omaha Insurance
"$11,054.4",15.9%,$840.1,23.9%,"$22,304","$18,370.6",51,"16,500",51,289,Conagra Brands
"$11,036.1",8.1%,"$1,406.8",38.4%,"$12,205.5","$13,869.1",25,"5,249",25,399,PulteGroup
"$11,032",-36.5%,$-604.6,-122.1%,"$35,804.6","$42,331.9",-99,"2,900",-99,324,EOG Resources
"$10,851.8",-9.9%,$286.5,64.7%,"$5,089.4","$2,855.3",-22,"12,337",-22,399,Group 1 Automotive
"$10,780",-7.2%,"$1,085",-36.7%,"$182,165","$16,875.6",-14,"9,500",-14,222,Ally Financial
"$10,778",27.3%,"$1,427",34.4%,"$50,455","$11,838.9",87,"27,058",87,318,Fidelity National Financial
"$10,715",-31%,$-690,-239.1%,"$9,538","$5,974.8",-84,"62,000",-84,49,Nordstrom
"$10,671",-4.2%,"$1,219",-41.1%,"$34,087","$19,355.9",-3,"9,800",-3,317,Discovery
"$10,620.4",27.2%,$749,33.2%,"$7,049.1","$20,576.8",89,"32,000",89,251,Tractor Supply
"$10,583",-11.3%,"$2,765",-17%,"$39,793","$73,230.6",-25,"19,282",-25,378,CSX
"$10,571",-49.6%,$-267,-121%,"$24,701","$48,220.2",-136,"121,000",-136,31,Marriott International
"$10,435",-3.8%,"$1,079",18.3%,"$44,464","$18,871.6",-,"12,153",-,379,FirstEnergy
"$10,165",-,$500,-33%,"$16,029","$11,081",17,"49,700",17,295,BorgWarner
"$10,165",6.7%,"$1,285",17.7%,"$28,320",-,41,"50,000",41,293,Jones Financial (Edward Jones)
"$10,153.6",-1.4%,$967.2,-9.9%,"$23,434","$31,682.5",8,"35,000",8,304,Republic Services
"$10,119.1",-1.8%,$403.8,-41.9%,"$7,772.5","$9,850.7",6,"19,000",6,298,Henry Schein
"$10,116.5",23.7%,$696.1,17.9%,"$4,927.5","$18,166.7",90,"17,480",90,399,Expeditors Intl. of Washington
"$10,113.6",-7%,"$1,388.3",11.9%,"$58,239.2","$20,000.3",-7,"13,400",-7,371,Entergy
"$10,106.3",4.1%,$493,1.3%,"$11,839.6","$12,006.1",29,"54,000",29,338,Advance Auto Parts
"$10,094.8",0.1%,$441.8,15.5%,"$44,649.9","$8,208.9",13,"13,850",13,97,Assurant
"$10,062",-15.1%,$-671,-192.6%,"$190,672",-,-34,"4,083",-34,-,Pacific Life
"$10,044.7",4.1%,"$2,251.8",2.8%,"$14,559","$85,064.7",27,"11,300",27,227,Lam Research
"$9,913",-7.7%,$-82,-101.7%,"$30,777","$54,903",-9,"38,000",-9,59,Boston Scientific
"$9,894.6",1.4%,$436.2,213.9%,"$33,376.7","$15,393.7",21,"8,900",21,399,Altice USA
"$9,789",-13.3%,"$2,013",-26%,"$37,962","$67,418",-24,"20,156",-24,234,Norfolk Southern
"$9,767",-6.6%,$-51.4,-135.7%,"$3,746","$2,038",-7,"8,100",-7,454,Sonic Automotive
"$9,763",45%,"$2,490",630.2%,"$8,962","$95,346.7",139,"12,600",139,313,Advanced Micro Devices
"$9,741",-24.7%,"$-1,165",-,"$12,059","$7,034",-63,"23,350",-63,343,United States Steel
"$9,735.1",2.2%,$816,-54.4%,"$41,710.1","$15,699.6",24,"18,900",24,343,Markel
"$9,710",-8.8%,$-319,-422.2%,"$5,558","$2,317.1",-15,"37,000",-15,340,ODP
"$9,660",-5.2%,$46,-84.8%,"$34,603","$18,180.2",-3,"8,162",-3,284,AES
"$9,654",-8.7%,$-949,-492.6%,"$27,331.1","$11,118.2",-16,"17,000",-16,282,Molson Coors Beverage
"$9,636.6",5.1%,$506,-2%,"$5,928.3","$17,765.8",31,"30,309",31,343,J.B. Hunt Transport Services
"$9,629.7",5.6%,"$2,002.5",-0.1%,"$79,806.5","$42,352.6",33,"1,583",33,-,KKR
"$9,608.5",1.2%,$908.1,-7.2%,"$9,908.3","$25,808.3",20,"19,100",20,92,Hormel Foods
"$9,603",-4.7%,"$1,905",12.5%,"$50,050","$30,411.7",-1,"12,788",-1,247,Public Service Enterprise Group
"$9,601.5",-8.3%,$550.8,-17.9%,"$9,265.6","$10,721.5",-20,"9,625",-20,398,Steel Dynamics
"$9,584",9.5%,$530.3,78.3%,"$7,752.9","$6,798.8",42,"33,450",42,192,Dick's Sporting Goods
"$9,552.2",-4.2%,$515.6,-30.7%,"$14,327.8","$13,505.2",-,"42,000",-,376,Mohawk Industries
"$9,504.3",-21.5%,$386.1,149.4%,"$2,685.7","$3,900.8",-60,"7,400",-60,399,Murphy USA
"$9,497.6",101.5%,$213.1,-43.2%,"$9,869.6","$103,220.3",252,"5,477",-,191,Block
"$9,437",22.1%,"$1,431",66.8%,"$14,026","$17,127.6",86,"44,500",86,75,Quest Diagnostics
"$9,385",-6.9%,$-770,-822.3%,"$14,700","$11,390.4",-9,"31,000",-9,104,Newell Brands
"$9,363",-9%,"$-1,421",-1440.6%,"$44,004","$14,919.2",-20,"7,047",-20,325,Liberty Media
"$9,361",5.2%,$696,26.8%,"$8,157","$8,295.7",30,"42,000",30,343,Huntington Ingalls Industries
"$9,358",-3.8%,$-85,-113.1%,"$35,697","$18,256.6",1,"1,519",1,141,Cheniere Energy
"$9,348.5",9.5%,$75.9,1222.1%,"$2,277.4",$709.3,41,"14,400",41,170,SpartanNash
"$9,286",-11%,$-170,-,"$14,860","$6,053.6",-28,"12,900",-28,194,Alcoa
"$9,149.7",1.2%,$427.1,241.1%,"$8,504.2","$10,815.9",19,"21,426",19,399,AGCO
"$9,133",2.1%,$-206,-,"$180,518","$7,878.5",21,"5,970",21,148,Voya Financial
"$9,093",-7.9%,$510,-88.5%,"$14,902","$9,232.1",-9,"4,104",-9,266,NRG Energy
"$9,061",-11.4%,$351.1,-46.5%,"$18,042.7","$11,407.8",-26,"50,200",-26,-,Interpublic Group
"$9,050",-8.7%,"$1,628",671.6%,"$12,372","$15,232.3",-13,"14,500",-13,76,Campbell Soup
"$9,048",-59.7%,"$-3,074",-233.7%,"$34,588","$36,066.8",-195,"56,537",-195,208,Southwest Airlines
"$9,008",-10.6%,"$-1,269",-918.7%,"$14,261","$14,628.8",-19,"23,500",-19,399,News Corp.
"$8,904.4",4.4%,"$1,205.2",32.6%,"$46,099.6","$29,728.2",33,"9,299",33,193,Eversource Energy
"$8,896.7",-1.6%,$101.8,-88.1%,"$28,927","$8,750.3",12,"10,407",12,372,Alleghany
"$8,856.3",-0.7%,"$1,886.7",7.2%,"$25,168.5","$62,254",15,"19,138",15,93,Air Products & Chemicals
"$8,853.2",-11.5%,$829.4,-38.7%,"$29,755.6",-,-21,"6,329",-21,-,Auto-Owners Insurance
"$8,835",-28.2%,$-773,-197.7%,"$33,471","$12,493.3",-82,"9,541",-82,369,CenterPoint Energy
"$8,811.9",-19.7%,$369.1,-47.4%,"$8,106.8","$9,685.9",-52,"13,000",-52,399,Reliance Steel & Aluminum
"$8,797.1",-4.1%,$132.9,-59.1%,"$5,063.8","$6,146",-,"33,000",-,399,EMCOR Group
"$8,706.9",-9.8%,$29.9,-,"$3,335.6","$2,763",-13,"18,800",-13,399,Owens & Minor
"$8,681.7",-2.5%,$666.1,-,"$19,789.8","$11,983.1",10,"12,617",10,267,Mosaic
"$8,666",2.6%,"$1,173.1",112.9%,"$25,381.1",-,29,"5,849",29,-,Erie Insurance Group
"$8,658",-0.3%,$178,-48.1%,"$105,747","$1,679.2",16,"3,000",16,307,Genworth Financial
"$8,598.9",4.5%,"$1,203.4",4.2%,"$12,327.3","$39,526.2",37,"80,000",37,210,Amphenol
"$8,558.9",17.6%,$313.5,41.4%,"$4,173.7","$9,572.2",75,"26,000",75,399,Builders FirstSource
"$8,542.2",-16%,$612.8,-52.1%,"$23,078.8","$22,542.9",-38,"2,886",-38,202,Oneok
"$8,530",-8.8%,$890,-24.2%,"$17,868","$23,819",-12,"18,250",-12,233,United Rentals
"$8,503",29.7%,"$-1,061",-,"$247,869","$3,866.5",104,"1,400",104,399,Brighthouse Financial
"$8,497.1",8.1%,"$3,513.2",66%,"$17,163.3","$50,688.4",51,"9,123",51,174,Regeneron Pharmaceuticals
"$8,473",-8.6%,$478,-37%,"$16,083","$15,033.2",-12,"14,500",-12,171,Eastman Chemical
"$8,435.9",1.1%,$-573.4,-,"$13,576.8","$3,124.2",25,"30,000",25,235,CommScope Holding
"$8,420.1",-5.7%,$-122.3,-,"$12,932","$4,072",-3,"39,000",-3,399,Ryder System
"$8,402",-14.2%,"$1,427",-43.2%,"$204,680","$26,628.6",-33,"19,872",-33,177,Fifth Third Bancorp
"$8,343.5",2.8%,$-11.8,-100.3%,"$27,323.2","$44,247.5",33,"9,000",33,386,Constellation Brands
"$8,340.6",7.9%,$172.6,8.3%,"$4,310.7","$3,349.5",49,"11,006",49,292,Insight Enterprises
"$8,321.6",-36.4%,$102.2,185%,"$2,540.5",$726.1,-115,"2,958",-115,399,Global Partners
"$8,265",-12.5%,$52.9,-,"$6,355","$3,650.6",-23,"9,457",-23,373,Univar Solutions
"$8,263",-5.8%,$784,10%,"$10,875","$24,892.3",-2,"271,000",-2,294,Yum China Holdings
"$8,260.3",-4.7%,"$-1,553.9",-,"$15,875.7","$7,259.8",1,"2,372",1,366,Targa Resources
"$8,244",25.9%,"$2,089",8.1%,"$126,200","$62,843.7",94,"8,890",94,297,Intercontinental Exchange
"$8,208.4",0.5%,$7.7,-57.9%,"$4,272.1",$921.9,24,"2,294",24,454,Andersons
"$8,168",1.8%,$818,-20.9%,"$47,482","$16,877.9",29,"14,800",29,386,Raymond James Financial
"$8,167.9",3.9%,$223,67.3%,"$5,771.5","$7,460",36,"22,250",36,374,Thor Industries
"$8,152.7",-5.3%,$637,-34.2%,"$110,151.7",-,-1,"3,386",-1,-,Thrivent Financial for Lutherans
"$8,149.7",2%,"$1,278.7",11.2%,"$9,131.8","$32,765.3",28,"16,040",28,69,Hershey
"$8,112.3",-3%,$263.8,29.4%,"$3,943.9","$7,987.6",7,"27,218",7,256,Casey's General Stores
"$8,098.9",2.5%,$530.7,-22.2%,"$28,606.9","$13,364.2",30,"7,495",30,130,W.R. Berkley
"$8,086",24.6%,"$2,197",46.2%,"$23,109","$72,052.1",90,"9,500",90,399,Activision Blizzard
"$8,057.9",1.7%,$204.4,-16.5%,"$57,595.4",-,27,"2,729",27,-,Western & Southern Financial Group
"$8,041.5",6.1%,"$1,690.6",-10.4%,"$47,233.5","$106,234.5",39,"5,618",39,367,American Tower
"$7,909",-4%,$732,-18.4%,"$73,566","$9,858.2",7,"7,300",7,399,American Financial Group
"$7,806.9",-8.3%,$-52.4,-107.3%,"$9,946.1","$18,506.6",-5,"177,895",-5,334,Darden Restaurants
"$7,801",-0.5%,$779.5,51.5%,"$16,970.4","$13,865.9",29,"7,300",29,164,J.M. Smucker
"$7,719",-5.9%,$211,-75.2%,"$44,165","$28,777.6",8,"4,739",8,216,Williams
"$7,679",13.2%,"$1,826",17.3%,"$10,931","$104,897.1",65,"11,950",65,55,Intuit
"$7,676",-4.8%,"$1,057",-41%,"$183,349","$18,768.4",14,"17,584",14,143,Citizens Financial Group
"$7,607",-2.1%,"$1,469",-15.9%,"$48,116","$22,177.5",26,"12,318",26,240,PPL
"$7,566",1.9%,$901.2,2.6%,"$5,777.1","$17,318",34,"6,100",34,330,NVR
"$7,556.1",-7.9%,$414.4,26.8%,"$18,454.5","$14,953",4,"27,000",4,158,Westinghouse Air Brake Technologies
"$7,548",-5.7%,$323,-34.2%,"$7,043","$5,809.4",12,"33,522",12,196,Foot Locker
"$7,536.3",-4.9%,"$1,216.4",-39.1%,"$27,541.7","$16,601.6",14,"5,266",14,198,Cincinnati Financial
"$7,532",14.9%,$797,-,"$16,311","$26,655.3",70,"9,372",70,396,Weyerhaeuser
"$7,504",-7.6%,$330,-21.6%,"$13,835","$11,350.4",3,"9,220",3,399,Westlake Chemical
"$7,503",-33.3%,$-347,-257%,"$6,637","$4,390.5",-105,"12,100",-105,399,Navistar International
"$7,501.5",4.8%,$382.3,583.9%,"$3,359.9","$2,421",42,"9,000",42,399,Magellan Health
"$7,463.8",11.3%,$482.6,15.3%,"$4,794","$11,089.5",59,"27,200",59,187,Booz Allen Hamilton Holding
"$7,447.4",-12.9%,$186.9,-59.5%,"$8,156.8","$8,112.8",-23,"64,716",-23,380,Autoliv
"$7,442",11.1%,"$2,339",10.2%,"$12,537","$85,001.6",58,"23,000",58,129,S&P Global
"$7,423.6",51.1%,$584.5,35.7%,"$44,201.5","$59,484.3",159,"24,000",-,399,Global Payments
"$7,414",-6%,$949,9.3%,"$10,876","$31,785.8",8,"18,000",8,212,Motorola Solutions
"$7,337",-4.6%,"$1,343",-21.8%,"$170,336","$19,182",15,"16,826",15,99,KeyCorp
"$7,301.8",-21.5%,$-608,-295.8%,"$6,134.1","$1,609",-55,"3,532",-55,399,Delek US Holdings
"$7,289",-11.5%,"$1,224",30.9%,"$5,777","$15,208.8",-14,"18,000",-14,-,Masco
"$7,265.7",-3.4%,$121.8,-15.7%,"$2,551.2",-,16,"8,200",16,-,Graybar Electric
"$7,241.7",-3.7%,"$1,199.9",5.8%,"$37,028.1","$29,521.5",16,"7,273",16,312,WEC Energy Group
"$5,354",169.1%,$-122,-141.7%,"$16,771","$10,033",-,"25,000",-,-,Cleveland-Cliffs
"$5,339",3.4%,$719,-32.9%,"$9,627","$38,739.2",35,"16,400",-,-,Agilent Technologies
"$5,318.8",19.5%,$108.4,-,"$5,045.6",$964.8,97,"8,700",-,-,Tutor Perini
"$5,314.8",3.7%,$-632.2,-,"$16,116.9","$6,893.6",37,"20,500",-,-,ADT
"$5,274.2",-1.4%,$570.6,60.3%,"$17,426.1","$41,794.8",17,"18,000",-,-,Microchip Technology
"$5,271.1",3.9%,$294.9,8.2%,"$4,528.4","$3,108",38,"28,000",-,-,Michaels
"$5,259",-62.9%,$261,-44.5%,"$11,443","$13,932",-281,"19,700",-,-,Howmet Aerospace
"$5,258",-46.2%,"$-1,714",-,"$16,908",$268.7,-182,"24,000",-,-,Hertz Global Holdings
"$5,255",-4.8%,$234.2,10.6%,"$8,668","$17,138.4",3,"32,750",-,-,ON Semiconductor
"$5,238",-7.4%,$817,-42.1%,"$123,038","$16,071.9",-10,"15,578",-,-,Huntington Bancshares
"$5,237.4",-2.5%,$207.5,-28.9%,"$5,277.3","$6,367.8",6,"20,000",-,-,Sonoco Products
"$5,225",0.9%,$226,86.8%,"$12,525","$2,625.8",24,"9,200",-,-,Telephone & Data Systems
"$5,210",-38.6%,-,-,"$6,584","$4,248.2",-140,"1,300",-,-,Chesapeake Energy
"$5,205.7",3.3%,$409.9,-22.8%,"$14,341.9","$5,229.2",31,"9,500",-,-,Kemper
"$5,199",-56.9%,"$-2,612",-562.3%,"$18,690","$24,762",-252,"19,100",-,-,Expedia Group
"$5,182",-6.1%,$699,-21.4%,"$18,395","$32,152.7",-3,"14,200",-,-,TransDigm Group
"$5,162.1",-60%,"$-1,032.7",-150.4%,"$36,494.9","$18,805.2",-268,"48,500",-,-,MGM Resorts International
"$5,154",16.7%,$246.8,37.4%,"$2,404.9","$4,683.3",88,"12,000",-,-,UFP Industries
"$5,109",-15.9%,$306.3,-32.6%,"$2,557.4","$8,831.7",-37,"13,000",-,-,Robert Half International
"$5,091",-30.9%,"$-2,680",-,"$9,912","$14,707.2",-101,"1,400",-,-,Devon Energy
"$5,089.8",-21.3%,$-215.3,-,"$2,472.6","$13,275.2",-57,"22,000",-,-,GameStop
"$5,084.2",-1.1%,$363.2,-20.3%,"$13,555.7","$34,741.5",18,"13,700",-,-,International Flavors & Fragrances
"$5,071",1.7%,$37,2.8%,"$5,610","$4,043.7",25,"14,700",-,-,Resideo Technologies
"$5,054.9",6%,$269.6,9.6%,"$2,484.3","$10,068.2",42,"5,800",-,-,Watsco
"$5,050.6",24.6%,$338.1,179.7%,"$5,022.3","$5,769.6",114,"29,050",-,-,Amkor Technology
"$5,007.4",3.7%,$172.5,1416.4%,"$3,222.5","$2,706.9",36,"14,900",-,-,Coca-Cola Consolidated
"$4,969",-10.1%,$219,-,"$7,082","$4,610.6",-16,"6,500",-,-,Chemours
"$4,961.4",-17.7%,$-652.1,-201.4%,"$7,924.2","$11,449.7",-43,"14,850",-,-,Tapestry
"$4,938.6",286.3%,"$3,382.5",715%,"$11,493.5","$12,729",-,"7,500",-,-,UWM Holdings
"$4,921.9",9.6%,$308.7,59.3%,"$6,511.6","$4,625.7",65,"15,610",-,-,Silgan Holdings
"$4,920.2",11%,$-26.5,-,"$6,075.7","$6,692.4",-,"27,081",-,-,Petco Health and Wellness
"$4,913.4",-4.6%,$618.3,-7.7%,"$27,114.8","$13,512.9",7,"5,133",-,-,Evergy
"$4,910.2",100.3%,$-33.3,-120.9%,"$16,058.6","$20,607.4",348,"15,900",-,-,Ingersoll Rand
"$4,903.2",2.3%,$502.9,91.2%,"$6,083.8","$7,098.4",30,"16,500",-,-,Sealed Air
"$4,895.8",12.3%,$785.9,27.6%,"$7,414.5","$21,408.4",76,"5,100",-,-,Church & Dwight
"$4,894",3.1%,$730,-14.6%,"$22,471","$7,217.2",34,"8,300",-,-,OneMain Holdings
"$4,883.6",0.3%,"$2,105.2",-0.5%,"$124,659.6","$73,330",21,"4,370",-,-,CME Group
"$4,876",-7.1%,$254,-36.7%,"$8,750","$18,932.7",-8,"16,150",-,-,Xylem
"$4,856.8",-1.5%,$584.5,-5.4%,"$11,686.9","$22,387",12,"8,847",-,-,Vulcan Materials
"$4,846",-20.8%,$-13.9,-141.7%,"$3,443.9",$395.3,-60,"16,374",-,-,TravelCenters of America
"$4,835",-8.6%,$744.3,-29.7%,"$9,496.3","$10,133.3",-13,"11,000",-,-,Western Union
"$4,827.3",-1.4%,$358.7,-15.6%,"$13,443.7","$4,709.8",12,"4,300",-,-,Hanover Insurance Group
"$4,804",-26.2%,"$-3,093",-,"$18,821","$21,722.4",-82,"1,621",-,-,Hess
"$4,737.9",4.6%,$731.8,-3.8%,"$29,046.7","$11,203.5",48,"3,261",-,-,Globe Life
"$4,735.9",-18.5%,$114.9,-18.9%,"$2,985.4","$2,685.6",-53,"6,307",-,-,Rush Enterprises
"$4,729.9",-0.2%,$721,17.8%,"$10,580.8","$20,917.1",26,"8,700",-,-,Martin Marietta Materials
"$4,710.8",-27.9%,$-561.3,-,"$5,916.3","$1,100.4",-87,"20,000",-,-,American Axle & Manufacturing
"$4,688.9",-8.3%,-,-,"$9,421.1",-,-5,"11,945",-,-,Windstream Holdings II
"$4,681.7",-10.1%,$-17.6,-104.6%,"$22,040.5","$9,447.7",-16,"7,345",-,-,NiSource
"$4,681.5",16.1%,$153.7,221.4%,"$6,293.8","$13,260.2",91,"26,000",-,-,PPD
"$4,673.9",-3.5%,$410,32.6%,"$8,468","$7,966.1",9,"22,800",-,-,Knight-Swift Transportation Holdings
"$4,667.9",0.8%,$625.2,42.6%,"$15,923.6","$18,005.2",28,"24,600",-,-,SS&C Technologies Holdings
"$4,647",-11%,$-127,-251.2%,"$4,856","$1,856.2",-21,"6,600",-,-,Domtar
"$4,644.4",0.9%,$284.2,-20.8%,"$6,445.9","$8,129.9",29,"35,536",-,-,Encompass Health
"$4,642.1",-0.4%,$551.5,15.5%,"$10,186.4","$14,325",23,"6,400",-,-,FMC
"$4,634.4",-36.7%,"$1,613.3",118.3%,"$16,051.5","$23,881.5",-134,"17,000",-,-,Fortive
"$4,617.4",-5.6%,$-482.8,-,"$5,478.5","$1,757.4",-1,"20,230",-,-,Cornerstone Building Brands
"$4,613.4",-12%,$98.6,-71.6%,"$5,812.4","$6,579.6",-27,"8,800",-,-,Skechers U.S.A.
"$4,610.6",9.7%,$178.6,118.9%,"$1,899.3","$1,245.3",64,"18,765",-,-,Ingles Markets
"$4,607.5",-19.9%,"$1,112.6",-47.1%,"$34,786.8","$37,338.1",-63,"2,850",-,-,Simon Property Group
"$4,606",-10.1%,$978.8,-20.6%,"$32,483.6","$29,897.1",-19,423,-,-,Welltower
"$4,598.6",9.5%,"$1,409.6",27.2%,"$6,202.7","$48,108",62,"3,340",-,-,Monster Beverage
"$4,583.7",1.8%,$126.6,-,"$5,521.1","$6,935.5",30,"32,100",-,-,Mattel
"$4,570.5",-7.2%,$13.8,-,"$5,485.7","$2,921.2",-12,"10,900",-,-,TreeHouse Foods
"$4,552.8",-4.1%,$211.7,44%,"$3,516.2","$4,461",6,"15,225",-,-,Schneider National
"$4,540",-12%,$872.4,1.3%,"$10,357.5","$29,480.1",-28,"16,500",-,-,Ametek
"$4,536",99.5%,"$1,646.9",319.1%,"$31,597.8","$4,630.4",-,"6,632",-,-,PennyMac Financial Services
"$4,529",3.8%,$462.5,-4.1%,"$4,889.8","$17,728.8",42,"12,000",-,-,Broadridge Financial Solutions
"$4,521.4",-31.3%,$213.7,-23.1%,"$22,547.1","$5,570.3",-113,"8,000",-,-,Alliance Data Systems
"$4,519.5",30.6%,$118.5,-81.1%,"$8,715.1","$98,071.6",133,"13,096",-,-,ServiceNow
"$4,516",-15.7%,$-72,-164.1%,"$2,561.9",$875.4,-50,"7,100",-,-,Kelly Services
"$4,515",-1.7%,$108.8,-36.4%,"$5,510.9","$2,771.7",12,"16,000",-,-,Greif
"$4,513.7",-7.3%,$-53.5,-,"$2,185.8",$449.9,-16,"30,000",-,-,Yellow
"$4,506.9",8.4%,"$1,064.2",14.4%,"$142,502.1","$29,390",53,"5,483",-,-,First Republic Bank
"$4,504",-,$-676,-,"$5,405","$4,679.1",-,"14,000",-,-,Perspecta
"$4,501.3",48.1%,$811.4,252.4%,"$13,404.3","$6,092.5",199,"11,749",-,-,Nexstar Media Group
"$4,501.2",22.8%,$423.5,69.6%,"$3,864.4","$3,448.1",96,"1,570",-,-,Meritage Homes
"$4,474.7",-15%,$-549.2,-696%,"$5,030.6","$9,161.9",-49,"11,800",-,-,Under Armour
"$4,463",-0.3%,$-475,-285.5%,"$6,410","$17,657.7",19,"5,500",-,-,Warner Music Group
"$4,452.6",-22.7%,$-127.1,-132.2%,"$5,641.2","$9,559.8",-85,"14,800",-,-,Levi Strauss
"$4,448",-0.8%,$504,-7.4%,"$5,375","$25,941.3",15,"8,800",-,-,Zebra Technologies
"$4,445.1",-,$257.8,-25.3%,"$9,378.3","$8,285.1",19,"9,950",-,-,Juniper Networks
"$4,443.6",202.8%,"$2,013.1",5748.7%,"$10,893.2","$6,089.1",-,"11,763",-,-,loanDepot
"$4,438.7",33.3%,"$1,481.8",-5.8%,"$56,065","$78,412.9",143,"1,945",-,-,Prologis
"$4,433.2",-30.1%,$-71.7,-164.5%,"$3,092.5","$2,123.7",-117,"24,000",-,-,Dillard's
"$4,415.8",-5.6%,$192.8,46.9%,"$8,063.3","$7,905.1",-9,"24,386",-,-,Syneos Health
"$4,401.9",10.6%,$588.9,-8.8%,"$4,185.2","$39,985.1",-,"25,000",-,-,Lululemon Athletica
"$4,388",6.4%,$152.3,-7.4%,"$3,323","$5,038.5",43,"9,200",-,-,Flowers Foods
"$4,386.3",0.9%,$823.4,-21.3%,"$7,237.1","$52,027.1",24,"14,900",-,-,Edwards Lifesciences
"$4,370.6",-1.4%,$-183.6,-,"$5,073.8","$7,028.8",13,"20,972",-,-,Vertiv Holdings
"$4,358.4",-2.7%,"$1,060.6",-23.1%,"$11,168.9","$87,474.3",6,"8,081",-,-,Intuitive Surgical
"$4,347.5",-4.6%,$372.7,-,"$3,770.6","$7,436.2",-2,"14,382",-,-,Brunswick
"$4,339",-,$-19,-,"$3,496","$4,084.1",-,"5,466",-,-,Covetrus
"$4,318",19%,$-282.4,-,"$8,718.4","$60,368.5",82,"12,500",-,-,Workday
"$4,308",-32.8%,"$-4,860",-,"$12,746","$6,765.6",-130,"2,272",-,-,APA
"$4,307",-54.4%,$-715,-181.2%,"$16,755","$33,568.3",-258,"141,000",-,-,Hilton Worldwide Holdings
"$4,287",-0.6%,$138.2,-8.5%,"$1,584.3","$3,199.9",18,"3,600",-,-,Insperity
"$4,280.2",-9.9%,$247.6,-25.8%,"$4,754","$6,070.9",-29,"20,400",-,-,Leggett & Platt
"$4,245.2",-11.8%,$320.1,-32.3%,"$5,866.4","$8,670",-36,"12,500",-,-,Carlisle
"$4,235.7",-1.3%,$91.6,45.4%,"$3,964.7","$2,770",18,"23,000",-,-,JELD-WEN Holding
"$5,354",169.1%,$-122,-141.7%,"$16,771","$10,033",-,"25,000",-,-,Cleveland-Cliffs
"$5,339",3.4%,$719,-32.9%,"$9,627","$38,739.2",35,"16,400",-,-,Agilent Technologies
